"product","region","region_type","name","member","format","formats","driver","layer","geom_type","feature_count","n_fields","crs","extent","error","url","dsn"
"LIST_TASWATER_SW_PRES_MAIN","KINGBOROUGH","lga","LIST_TASWATER_SW_PRES_MAIN_KINGBOROUGH.zip","","shp","gdb;shp;tab","ESRI Shapefile","municipality_kingborough","Polygon",1,9,"EPSG:28355","507420.634 5179710.316 535195.892 5250488.019","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_KINGBOROUGH.zip",""
"LIST_TASWATER_SW_PRES_MAIN","LATROBE","lga","LIST_TASWATER_SW_PRES_MAIN_LATROBE.zip","list_taswater_sw_pres_main_latrobe.gdb","gdb","gdb;shp;tab","OpenFileGDB","list_taswater_sw_pres_main_latrobe","MultiLineString",0,10,"EPSG:28355","","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_LATROBE.zip",""
"LIST_TASWATER_SW_PRES_MAIN","LATROBE","lga","LIST_TASWATER_SW_PRES_MAIN_LATROBE.zip","municipality_latrobe.gdb","gdb","gdb;shp;tab","OpenFileGDB","municipality_latrobe","MultiPolygon",1,11,"EPSG:28355","445357.197 5419297.592 480075.825 5450990.195","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_LATROBE.zip",""
"LIST_TASWATER_SW_PRES_MAIN","LATROBE","lga","LIST_TASWATER_SW_PRES_MAIN_LATROBE.zip","","shp","gdb;shp;tab","ESRI Shapefile","list_taswater_sw_pres_main_latrobe","LineString",0,10,"EPSG:28355","0 0 -1 -1","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_LATROBE.zip",""
"LIST_TASWATER_SW_PRES_MAIN","LATROBE","lga","LIST_TASWATER_SW_PRES_MAIN_LATROBE.zip","","shp","gdb;shp;tab","ESRI Shapefile","municipality_latrobe","Polygon",1,9,"EPSG:28355","445357.197 5419297.592 480075.825 5450990.195","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_LATROBE.zip",""
"LIST_TASWATER_SW_PRES_MAIN","LAUNCESTON","lga","LIST_TASWATER_SW_PRES_MAIN_LAUNCESTON.zip","list_taswater_sw_pres_main_launceston.gdb","gdb","gdb;shp;tab","OpenFileGDB","list_taswater_sw_pres_main_launceston","MultiLineString",11,10,"EPSG:28355","510407.4669 5412988.679 511773.8221 5415567.3182","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_LAUNCESTON.zip",""
"LIST_TASWATER_SW_PRES_MAIN","LAUNCESTON","lga","LIST_TASWATER_SW_PRES_MAIN_LAUNCESTON.zip","municipality_launceston.gdb","gdb","gdb;shp;tab","OpenFileGDB","municipality_launceston","MultiPolygon",1,11,"EPSG:28355","498002.799 5399419.111 554106.879 5451704.268","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_LAUNCESTON.zip",""
"LIST_TASWATER_SW_PRES_MAIN","LAUNCESTON","lga","LIST_TASWATER_SW_PRES_MAIN_LAUNCESTON.zip","","shp","gdb;shp;tab","ESRI Shapefile","list_taswater_sw_pres_main_launceston","LineString",11,10,"EPSG:28355","510407.4669 5412988.679 511773.8221 5415567.3182","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_LAUNCESTON.zip",""
"LIST_TASWATER_SW_PRES_MAIN","LAUNCESTON","lga","LIST_TASWATER_SW_PRES_MAIN_LAUNCESTON.zip","","shp","gdb;shp;tab","ESRI Shapefile","municipality_launceston","Polygon",1,9,"EPSG:28355","498002.799 5399419.111 554106.879 5451704.268","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_LAUNCESTON.zip",""
"LIST_TASWATER_SW_PRES_MAIN","MEANDER_VALLEY","lga","LIST_TASWATER_SW_PRES_MAIN_MEANDER_VALLEY.zip","list_taswater_sw_pres_main_meander_valley.gdb","gdb","gdb;shp;tab","OpenFileGDB","list_taswater_sw_pres_main_meander_valley","MultiLineString",0,10,"EPSG:28355","","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_MEANDER_VALLEY.zip",""
